img,v8n_missing_count,v8l_missing_conf_avg,missing_area_rate,false_area_rate,label,mean_conf_diff,mean_area_diff,mean_center_offset
007011.jpg,0,0.0,0.0,0.0,1,0.011782705783843994,0.0003442704412737009,1.2547813653945923
2008_004213.jpg,0,0.0,0.0,0.32490060576835345,1,0.0920330286026001,0.013681201429073628,3.186129570007324
006306.jpg,0,0.0,0.0,0.0,1,0.050463199615478516,0.005869088868862568,1.4383490085601807
003588.jpg,0,0.0,0.0,0.0,1,0.024095982313156128,0.02856364566931971,3.3156823813915253
003713.jpg,2,0.3350774943828583,0.017832939897019694,0.0,1,0.022302677234013874,0.020502514074801047,0.9768771330515543
2009_000910.jpg,0,0.0,0.0,0.0,1,0.1334041953086853,0.020807561347840918,7.571850776672363
2010_004163.jpg,0,0.0,0.0,0.0,1,0.045570164918899536,0.029330218462087228,4.739871188998222
005036.jpg,0,0.0,0.0,0.0,1,0.05388019482294718,0.08492796018251743,0.6591435174147288
2008_005327.jpg,0,0.0,0.0,0.0,1,0.010269641876220703,0.01914775577968313,1.8785699605941772
2010_001922.jpg,0,0.0,0.0,0.0,1,0.002676248550415039,0.010289830030845507,1.7728723287582397
003379.jpg,0,0.0,0.0,0.0,1,0.039921462535858154,0.04332907538506932,0.9408119916915894
009018.jpg,0,0.0,0.0,0.0,1,0.015109419822692871,0.0875347073010828,7.235892295837402
2008_000008.jpg,0,0.0,0.0,0.0,1,0.011054933071136475,0.03822575624445106,4.77206027507782
2011_002606.jpg,0,0.0,0.0,0.0,1,0.08132636547088623,0.0662095407776127,5.8138057589530945
2010_002310.jpg,0,0.0,0.0,0.0,1,0.01407766342163086,0.015156145335847188,1.9302482604980469
008319.jpg,7,0.47860544068472727,0.1268524605003941,0.01769859131509815,1,0.06671931147575379,0.03333201846456806,1.200289896130562
2008_005612.jpg,0,0.0,0.0,0.0,1,0.09272197782993316,0.09901089790268185,1.9936851292848587
2010_000456.jpg,0,0.0,0.0,0.22769503537160957,1,0.06556203961372375,0.28638660808960814,24.32387399673462
008749.jpg,0,0.0,0.0,0.0,1,0.016070663928985596,0.014427112987598256,3.1712899208068848
2010_004631.jpg,0,0.0,0.0,0.0,1,0.005439281463623047,0.027485657171615364,1.3523226976394653
2009_004934.jpg,0,0.0,0.0,0.039969235102753777,1,0.025683701038360596,0.000565570555658917,7.713247299194336
2008_000659.jpg,0,0.0,0.0,0.0,1,0.19586500525474548,0.052058222907167474,0.44413140416145325
2009_004856.jpg,0,0.0,0.0,0.0,1,0.004406154155731201,0.000756983733210323,2.7423226833343506
2009_002972.jpg,0,0.0,0.0,0.0,1,0.11833193898200989,0.046782498190480734,8.389536142349243
001945.jpg,0,0.0,0.0,0.0,1,0.02084919810295105,0.048560788645496025,1.3285967111587524
007939.jpg,0,0.0,0.0,0.0,1,0.029181241989135742,0.030590442362611603,2.76955509185791
2009_001709.jpg,0,0.0,0.0,0.0,1,0.21581190824508667,0.33119647268334174,27.23822832107544
009848.jpg,0,0.0,0.0,0.49775454245334155,1,0.08226174116134644,0.051735681465501476,2.263794561227163
002199.jpg,0,0.0,0.0,0.0,1,0.14226561784744263,0.041377495728035125,2.0257010459899902
005910.jpg,0,0.0,0.0,0.0,1,0.14475101232528687,0.24118886119417265,15.145556449890137
2011_002418.jpg,1,0.3993062376976013,0.02602638537664841,0.0,1,0.020213335752487183,0.043090327521156505,4.607775419950485
000943.jpg,0,0.0,0.0,0.0,1,0.0732637882232666,0.09249434842532911,5.639202678203583
2010_002791.jpg,0,0.0,0.0,0.0,1,0.046221792697906494,0.052810621194353854,4.91096305847168
